B11,B12,B2,B3,B4,B8,EVI,NDBI,NDVI,NDWI,class_code,point_id,lon,lat,random,split
0.13510000705718994,0.0803999975323677,0.031099999323487282,0.05719999969005585,0.04520000144839287,0.12210000306367874,0.16572561635222938,0.050544336438179016,0.4596533179283142,-0.3619632124900818,1,809567075,100.57169674002722,14.342569222432802,0.3745401188473625,train
0.2293500006198883,0.1546500027179718,0.05469999834895134,0.10610000044107437,0.06584999710321426,0.2522999942302704,0.3767732262656717,-0.04764869436621666,0.5860443115234375,-0.407924085855484,1,858582584,100.56720413981779,14.380957955052835,0.9507143064099162,test
0.296750009059906,0.17829999327659607,0.036249998956918716,0.06319999694824219,0.06174999848008156,0.24435000121593475,0.3399169804851057,0.0968397855758667,0.5965371131896973,-0.5890099406242371,1,799126074,100.54624087244855,14.345238424214395,0.7319939418114051,test
0.06624999642372131,0.03914999961853027,0.013799999840557575,0.01915000006556511,0.01360000018030405,0.015399999916553497,0.004529440695203962,0.6227801442146301,0.06206895783543587,0.10853835195302963,1,799125977,100.54328218558393,14.368176978780024,0.5986584841970366,train
0.041099999099969864,0.023000000044703484,0.011300000362098217,0.026499999687075615,0.016300000250339508,0.01510000042617321,-0.002917861754329269,0.4626334309577942,-0.03821655362844467,0.2740384340286255,1,799126068,100.5667527465791,14.33871496411932,0.15601864044243652,train
0.04284999892115593,0.0272000003606081,0.013150000013411045,0.021549999713897705,0.018149999901652336,0.04149999842047691,0.05550141087500682,0.01600474864244461,0.39145010709762573,-0.3164155185222626,1,380380617,100.59746053760641,14.360464892895493,0.15599452033620265,train
0.11259999871253967,0.06719999760389328,0.0142000000923872,0.023399999365210533,0.020899999886751175,0.06080000102519989,0.09238677676965658,0.2987312376499176,0.4883720874786377,-0.44418054819107056,1,865677959,100.5789500037829,14.326867931183678,0.05808361216819946,train
0.06669999659061432,0.03530000150203705,0.02410000003874302,0.04170000180602074,0.03269999846816063,0.05220000073313713,0.04566103691463077,0.12195118516683578,0.22968201339244843,-0.11182107031345367,1,799125923,100.54674819188928,14.363818477485646,0.8661761457749352,test
0.17080000042915344,0.11270000040531158,0.03370000049471855,0.05860000103712082,0.056449998170137405,0.10175000131130219,0.09535236939341668,0.2533479928970337,0.2863464057445526,-0.26909884810447693,1,803027157,100.56150007957196,14.349282661220544,0.6011150117432088,train
0.16329999268054962,0.12370000034570694,0.03500000014901161,0.057999998331069946,0.04670000076293945,0.10769999772310257,0.13550736826024698,0.2051660418510437,0.3950777053833008,-0.29993966221809387,1,803026159,100.55709614919081,14.345044501676801,0.7080725777960455,test
0.1662999987602234,0.09640000015497208,0.027899999171495438,0.04280000180006027,0.04100000113248825,0.16985000669956207,0.2669691767414076,-0.010560785420238972,0.6110979318618774,-0.5974606275558472,1,808762995,100.58571359848503,14.36727202980961,0.020584494295802447,train
0.13750000298023224,0.0803999975323677,0.017100000753998756,0.02759999968111515,0.024000000208616257,0.08950000256299973,0.1481565312450669,0.21145373582839966,0.5770925283432007,-0.5286080241203308,1,854515442,100.56778151722423,14.377820086940114,0.9699098521619943,test
0.20270000398159027,0.120899997651577,0.06210000067949295,0.1136000007390976,0.07840000092983246,0.41600000858306885,0.5940942623074731,-0.3447551429271698,0.6828479170799255,-0.5709969997406006,1,800777969,100.55260890397447,14.35232256167398,0.8324426408004217,test
0.1985500007867813,0.11945000290870667,0.022949999198317528,0.041999999433755875,0.04019999876618385,0.21854999661445618,0.34627705758620597,-0.04795012250542641,0.6892753839492798,-0.6776050925254822,1,800778257,100.55413567225139,14.355474197194347,0.21233911067827616,train
0.11145000159740448,0.06239999830722809,0.02370000071823597,0.02655000053346157,0.021050000563263893,0.06780000030994415,0.11499483402555688,0.24351464211940765,0.5261676907539368,-0.4372018873691559,1,972619286,100.56639952251777,14.382833678097779,0.18182496720710062,train
0.02954999916255474,0.01979999989271164,0.01795000024139881,0.02590000070631504,0.01860000006854534,0.02484999969601631,0.01559653541810345,0.08639705181121826,0.14384348690509796,0.020689675584435463,1,799126079,100.55420898474348,14.364691751152643,0.18340450985343382,train
0.24785000085830688,0.16110000014305115,0.06390000134706497,0.09229999780654907,0.10029999911785126,0.2994999885559082,0.35019864491013963,-0.094363734126091,0.4982491135597229,-0.5288412570953369,1,810747360,100.54452995934486,14.353828923579574,0.3042422429595377,train
0.1785999983549118,0.11959999799728394,0.030799999833106995,0.05180000141263008,0.035100001841783524,0.1995999962091446,0.34875337767127984,-0.05552617087960243,0.7008947134017944,-0.5879076719284058,1,815701471,100.54043363736434,14.349536237602143,0.5247564316322378,train
0.19235000014305115,0.12394999712705612,0.03884999826550484,0.06700000166893005,0.053849998861551285,0.15279999375343323,0.2088389753226144,0.11458788067102432,0.47882893681526184,-0.39035484194755554,1,948449782,100.59886048610295,14.366931545763714,0.43194501864211576,train
0.17059999704360962,0.08810000121593475,0.03150000050663948,0.057999998331069946,0.042500000447034836,0.28060001134872437,0.4581136895887943,-0.24379435181617737,0.7369235754013062,-0.6574128866195679,1,809567261,100.53744755714995,14.344332563131172,0.2912291401980419,train
0.13979999721050262,0.09179999679327011,0.030300000682473183,0.04320000112056732,0.042100001126527786,0.1307000070810318,0.19160072074320805,0.03364136815071106,0.5127314925193787,-0.5031627416610718,1,844790591,100.53855189162672,14.3666358779919,0.6118528947223795,train
0.15410000085830688,0.0868000015616417,0.033799998462200165,0.050999999046325684,0.03779999911785126,0.21780000627040863,0.37780204277953694,-0.17128261923789978,0.7042253613471985,-0.6205357313156128,1,739092907,100.56860865835075,14.362705149218792,0.13949386065204183,train
0.1618500053882599,0.08865000307559967,0.02319999970495701,0.040300000458955765,0.04190000146627426,0.2296999990940094,0.35919209734518354,-0.17328564822673798,0.691457986831665,-0.7014814615249634,1,9965210,100.55274858686414,14.348102817986646,0.29214464853521815,train
0.0478999987244606,0.027650000527501106,0.0377499982714653,0.04365000128746033,0.03294999897480011,0.06040000170469284,0.07038642654961941,-0.1154201552271843,0.29405465722084045,-0.16098029911518097,1,799126044,100.58469792207448,14.329570129069724,0.3663618432936917,train
0.16279999911785126,0.11365000158548355,0.032349999994039536,0.06105000153183937,0.04284999892115593,0.0340999998152256,-0.02086164356654192,0.6536312699317932,-0.1137101948261261,0.2832370102405548,1,946930800,100.55696689309882,14.320688719237374,0.45606998421703593,train
0.10459999740123749,0.05739999935030937,0.02239999920129776,0.028300000354647636,0.022700000554323196,0.1278499960899353,0.2398384996509552,-0.10002150386571884,0.6984390616416931,-0.6375280022621155,1,799410223,100.5590812110106,14.383002404785895,0.7851759613930136,test
0.11819999665021896,0.07620000094175339,0.017799999564886093,0.028999999165534973,0.02160000056028366,0.03669999912381172,0.036551119479756575,0.526145875453949,0.2590051293373108,-0.11719939112663269,1,799126069,100.57906633444979,14.354973742899286,0.19967378215835974,train
0.05429999902844429,0.02745000086724758,0.0038999998942017555,0.007300000172108412,0.007350000087171793,0.020250000059604645,0.031156409900692787,0.45674043893814087,0.46739131212234497,-0.4700544476509094,1,799126067,100.56644449820695,14.337846212653476,0.5142344384136116,train
0.22220000624656677,0.13580000400543213,0.0421999990940094,0.07519999891519547,0.05920000001788139,0.35580000281333923,0.5317318048207773,-0.2311418652534485,0.7146987915039062,-0.6510440707206726,1,808026526,100.58392780013202,14.36173198325652,0.5924145688620425,train
0.02969999983906746,0.017000000923871994,0.017100000753998756,0.018950000405311584,0.01425000000745058,0.02135000005364418,0.01813815677117439,0.16356512904167175,0.1994381994009018,-0.05955334007740021,1,622106884,100.54619071406063,14.387795746772298,0.046450412719997725,train
0.2483000010251999,0.17389999330043793,0.03680000081658363,0.061400000005960464,0.05609999969601631,0.23810000717639923,0.350350364958332,0.020970381796360016,0.6186267733573914,-0.589983344078064,1,844791220,100.5475308764899,14.334113445698792,0.6075448519014384,train
0.11999999731779099,0.07150000333786011,0.026599999517202377,0.05510000139474869,0.035100001841783524,0.25850000977516174,0.4399023385942196,-0.3659181296825409,0.7608991861343384,-0.6485969424247742,1,751960805,100.61496759683588,14.358790659329198,0.17052412368729153,train
0.251800000667572,0.15514999628067017,0.03164999932050705,0.06260000169277191,0.06279999762773514,0.27079999446868896,0.36873548370739134,-0.036356665194034576,0.623501181602478,-0.6244750618934631,1,799779070,100.55343931449322,14.356019409618586,0.06505159298527952,train
0.30970001220703125,0.18970000743865967,0.05914999917149544,0.11230000108480453,0.10379999876022339,0.3674499988555908,0.4261698868491951,-0.08528389036655426,0.5594695210456848,-0.5318394899368286,1,805433118,100.59486789216965,14.362006110938077,0.9488855372533332,test
0.12970000505447388,0.0706000030040741,0.030400000512599945,0.044449999928474426,0.032999999821186066,0.1656000018119812,0.2919161728456366,-0.12157127261161804,0.6676737070083618,-0.5767674446105957,1,972619263,100.55747934935317,14.387127290917569,0.9656320330745594,test
0.12794999778270721,0.07609999924898148,0.028200000524520874,0.03400000184774399,0.03220000118017197,0.06305000185966492,0.07382148966654575,0.33979055285453796,0.323884516954422,-0.2993302345275879,1,977897235,100.54324655642701,14.38464148981999,0.8083973481164611,test
0.1530500054359436,0.0763000026345253,0.017999999225139618,0.039650000631809235,0.026650000363588333,0.32760000228881836,0.5562846573704006,-0.3631540536880493,0.8495413064956665,-0.7840707898139954,1,808025917,100.59586904797723,14.347017813295416,0.3046137691733707,train
0.1432500034570694,0.07119999825954437,0.035349998623132706,0.057999998331069946,0.03635000064969063,0.1813499927520752,0.31957329515472804,-0.1173752024769783,0.6660541892051697,-0.5153540968894958,1,751960803,100.57864511304959,14.3818944225644,0.09767211400638387,train
0.12939999997615814,0.07100000232458115,0.025599999353289604,0.044199999421834946,0.03830000013113022,0.20319999754428864,0.3321917747591151,-0.22188815474510193,0.6828157305717468,-0.6426839232444763,1,810481392,100.5614946759609,14.336148764975437,0.6842330265121569,test
0.17440000176429749,0.0917000025510788,0.02250000089406967,0.039400000125169754,0.028999999165534973,0.17350000143051147,0.306468724338063,0.002586951246485114,0.7135802507400513,-0.6298731565475464,1,810748077,100.5395928477406,14.338321021224434,0.4401524937396013,train
0.16089999675750732,0.10570000112056732,0.03269999846816063,0.053700000047683716,0.04820000007748604,0.10010000318288803,0.11341288059684422,0.23295016586780548,0.34996628761291504,-0.3016905188560486,1,806442546,100.57002643371204,14.371687343373253,0.12203823484477883,train
0.19345000386238098,0.094200000166893,0.023749999701976776,0.05635000020265579,0.03150000050663948,0.40059998631477356,0.6537487167810287,-0.34870800375938416,0.8542004227638245,-0.7533646821975708,1,380379273,100.59373566394812,14.357805640213973,0.4951769101112702,train
0.1882999986410141,0.10090000182390213,0.02879999950528145,0.05559999868273735,0.033900000154972076,0.36719998717308044,0.6151262162860796,-0.3220521807670593,0.8309648633003235,-0.7369914650917053,1,815701500,100.54242812929735,14.36131471371285,0.034388521115218396,train
0.1655000001192093,0.08919999748468399,0.017000000923871994,0.050200000405311584,0.018149999901652336,0.4037500023841858,0.6959535139010311,-0.4185331463813782,0.9139606356620789,-0.7788302898406982,1,805432901,100.55612127400485,14.337453216470458,0.9093204020787821,test
0.1624000072479248,0.09120000153779984,0.0203000009059906,0.032600000500679016,0.02669999934732914,0.12470000237226486,0.21630689918867738,0.13131314516067505,0.6472919583320618,-0.5855054259300232,1,806442545,100.5698862463766,14.371809446091632,0.2587799816000169,train
